Date,ESP0.DE_Open,ESP0.DE_High,ESP0.DE_Low,ESP0.DE_Close,ESP0.DE_Adj Close,ESP0.DE_Volume
2020-02-18,23.5,23.594999313354492,23.299999237060547,23.524999618530273,23.524999618530273,51860
2020-02-19,23.920000076293945,24.235000610351562,23.774999618530273,24.06999969482422,24.06999969482422,30545
2020-02-20,24.145000457763672,24.229999542236328,23.639999389648438,23.639999389648438,23.639999389648438,22284
2020-02-21,23.799999237060547,24.079999923706055,23.395000457763672,23.395000457763672,23.395000457763672,12378
2020-02-24,23.100000381469727,23.100000381469727,22.0,22.510000228881836,22.510000228881836,23358
2020-02-25,22.799999237060547,22.950000762939453,22.190000534057617,22.30500030517578,22.30500030517578,18819
2020-02-26,22.295000076293945,22.610000610351562,21.770000457763672,22.44499969482422,22.44499969482422,19210
2020-02-27,22.125,22.125,21.100000381469727,21.364999771118164,21.364999771118164,22629
2020-02-28,20.84000015258789,21.309999465942383,20.274999618530273,20.940000534057617,20.940000534057617,34140
2020-03-02,21.5,21.84000015258789,20.829999923706055,21.389999389648438,21.389999389648438,37056
2020-03-03,21.684999465942383,22.190000534057617,21.674999237060547,21.739999771118164,21.739999771118164,28293
2020-03-04,21.850000381469727,22.309999465942383,21.760000228881836,22.1299991607666,22.1299991607666,35298
2020-03-05,22.459999084472656,22.514999389648438,21.700000762939453,22.290000915527344,22.290000915527344,27618
2020-03-06,22.280000686645508,22.344999313354492,21.295000076293945,21.415000915527344,21.415000915527344,10709
2020-03-09,21.010000228881836,21.010000228881836,19.299999237060547,20.315000534057617,20.315000534057617,31668
2020-03-10,20.549999237060547,21.15999984741211,20.25,20.450000762939453,20.450000762939453,14735
2020-03-11,20.604999542236328,20.65999984741211,20.299999237060547,20.530000686645508,20.530000686645508,10284
2020-03-12,19.658000946044922,20.104999542236328,18.5,18.5,18.5,28115
2020-03-13,18.833999633789062,20.440000534057617,18.582000732421875,19.1560001373291,19.1560001373291,9527
2020-03-16,18.670000076293945,19.54199981689453,17.5,19.007999420166016,19.007999420166016,23952
2020-03-17,19.719999313354492,19.969999313354492,18.474000930786133,19.576000213623047,19.576000213623047,7838
2020-03-18,19.33799934387207,19.59600067138672,18.059999465942383,18.969999313354492,18.969999313354492,18365
2020-03-19,19.350000381469727,19.489999771118164,18.643999099731445,19.24799919128418,19.24799919128418,5667
2020-03-20,20.395000457763672,20.395000457763672,19.666000366210938,19.666000366210938,19.666000366210938,11618
2020-03-23,19.0,19.950000762939453,18.5,19.43600082397461,19.43600082397461,28079
2020-03-24,21.104999542236328,21.350000381469727,20.600000381469727,21.1299991607666,21.1299991607666,32237
2020-03-25,21.520000457763672,21.700000762939453,20.549999237060547,20.985000610351562,20.985000610351562,46519
2020-03-26,20.059999465942383,21.540000915527344,20.059999465942383,21.309999465942383,21.309999465942383,18577
2020-03-27,21.325000762939453,21.440000534057617,20.774999618530273,21.139999389648438,21.139999389648438,26228
2020-03-30,21.5049991607666,21.75,20.93000030517578,21.459999084472656,21.459999084472656,18867
2020-03-31,21.934999465942383,22.209999084472656,21.43000030517578,21.770000457763672,21.770000457763672,19710
2020-04-01,21.479999542236328,21.684999465942383,20.895000457763672,21.4950008392334,21.4950008392334,18631
2020-04-02,21.860000610351562,21.969999313354492,21.200000762939453,21.674999237060547,21.674999237060547,31041
2020-04-03,22.100000381469727,22.155000686645508,21.65999984741211,21.65999984741211,21.65999984741211,16298
2020-04-06,22.309999465942383,22.864999771118164,22.209999084472656,22.645000457763672,22.645000457763672,43380
2020-04-07,23.0,23.489999771118164,22.434999465942383,22.649999618530273,22.649999618530273,34713
2020-04-08,22.56999969482422,22.674999237060547,22.03499984741211,22.579999923706055,22.579999923706055,7953
2020-04-09,22.940000534057617,22.940000534057617,22.25,22.475000381469727,22.475000381469727,19640
2020-04-14,23.100000381469727,23.655000686645508,22.8700008392334,23.295000076293945,23.295000076293945,50249
2020-04-15,23.7549991607666,23.84000015258789,23.15999984741211,23.325000762939453,23.325000762939453,46468
2020-04-16,23.655000686645508,24.610000610351562,23.655000686645508,24.084999084472656,24.084999084472656,33999
2020-04-17,24.399999618530273,25.40999984741211,23.71500015258789,23.864999771118164,23.864999771118164,59853
2020-04-20,24.309999465942383,24.309999465942383,23.31999969482422,24.049999237060547,24.049999237060547,28326
2020-04-21,24.100000381469727,24.280000686645508,22.625,23.049999237060547,23.049999237060547,33809
2020-04-22,23.084999084472656,24.079999923706055,23.084999084472656,23.780000686645508,23.780000686645508,19539
2020-04-23,23.950000762939453,24.635000228881836,23.780000686645508,24.059999465942383,24.059999465942383,40019
2020-04-24,24.020000457763672,24.334999084472656,23.30500030517578,23.920000076293945,23.920000076293945,61948
2020-04-27,24.334999084472656,24.559999465942383,24.079999923706055,24.280000686645508,24.280000686645508,69841
2020-04-28,24.655000686645508,24.799999237060547,24.014999389648438,24.170000076293945,24.170000076293945,49987
2020-04-29,24.09000015258789,24.614999771118164,23.75,24.204999923706055,24.204999923706055,51323
2020-04-30,24.229999542236328,24.329999923706055,23.209999084472656,23.899999618530273,23.899999618530273,28165
2020-05-04,23.264999389648438,23.604999542236328,22.399999618530273,23.604999542236328,23.604999542236328,46628
2020-05-05,23.895000457763672,24.225000381469727,23.5,23.875,23.875,34859
2020-05-06,24.200000762939453,24.239999771118164,24.0049991607666,24.219999313354492,24.219999313354492,16600
2020-05-07,24.239999771118164,24.940000534057617,24.239999771118164,24.559999465942383,24.559999465942383,77119
2020-05-08,24.899999618530273,25.1299991607666,24.600000381469727,24.735000610351562,24.735000610351562,87224
