Date,GADGX_Open,GADGX_High,GADGX_Low,GADGX_Close,GADGX_Adj Close,GADGX_Volume
2017-01-03,10.850000381469727,10.850000381469727,10.850000381469727,10.850000381469727,9.919296264648438,0
2017-01-04,10.989999771118164,10.989999771118164,10.989999771118164,10.989999771118164,10.047284126281738,0
2017-01-05,11.0,11.0,11.0,11.0,10.056426048278809,0
2017-01-06,11.010000228881836,11.010000228881836,11.010000228881836,11.010000228881836,10.065571784973145,0
2017-01-09,10.960000038146973,10.960000038146973,10.960000038146973,10.960000038146973,10.019858360290527,0
2017-01-10,10.970000267028809,10.970000267028809,10.970000267028809,10.970000267028809,10.02900218963623,0
2017-01-11,11.010000228881836,11.010000228881836,11.010000228881836,11.010000228881836,10.065571784973145,0
2017-01-12,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,10.038143157958984,0
2017-01-13,11.010000228881836,11.010000228881836,11.010000228881836,11.010000228881836,10.065571784973145,0
2017-01-17,10.970000267028809,10.970000267028809,10.970000267028809,10.970000267028809,10.02900218963623,0
2017-01-18,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,10.038143157958984,0
2017-01-19,10.949999809265137,10.949999809265137,10.949999809265137,10.949999809265137,10.010717391967773,0
2017-01-20,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,10.038143157958984,0
2017-01-23,10.970000267028809,10.970000267028809,10.970000267028809,10.970000267028809,10.02900218963623,0
2017-01-24,11.050000190734863,11.050000190734863,11.050000190734863,11.050000190734863,10.102141380310059,0
2017-01-25,11.109999656677246,11.109999656677246,11.109999656677246,11.109999656677246,10.156991958618164,0
2017-01-26,11.100000381469727,11.100000381469727,11.100000381469727,11.100000381469727,10.147852897644043,0
2017-01-27,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,10.13870906829834,0
2017-01-30,11.020000457763672,11.020000457763672,11.020000457763672,11.020000457763672,10.074713706970215,0
2017-01-31,11.029999732971191,11.029999732971191,11.029999732971191,11.029999732971191,10.083855628967285,0
2017-02-01,11.050000190734863,11.050000190734863,11.050000190734863,11.050000190734863,10.102141380310059,0
2017-02-02,11.050000190734863,11.050000190734863,11.050000190734863,11.050000190734863,10.102141380310059,0
2017-02-03,11.109999656677246,11.109999656677246,11.109999656677246,11.109999656677246,10.156991958618164,0
2017-02-06,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,10.12956428527832,0
