Date,0P00000UWV.F_Open,0P00000UWV.F_High,0P00000UWV.F_Low,0P00000UWV.F_Close,0P00000UWV.F_Adj Close,0P00000UWV.F_Volume
2018-01-02,81.52999877929688,81.52999877929688,81.52999877929688,81.52999877929688,81.52999877929688,0
2018-01-03,81.5999984741211,81.5999984741211,81.5999984741211,81.5999984741211,81.5999984741211,0
2018-01-04,81.62000274658203,81.62000274658203,81.62000274658203,81.62000274658203,81.62000274658203,0
2018-01-05,81.61000061035156,81.61000061035156,81.61000061035156,81.61000061035156,81.61000061035156,0
2018-01-08,81.6500015258789,81.6500015258789,81.6500015258789,81.6500015258789,81.6500015258789,0
2018-01-09,81.58999633789062,81.58999633789062,81.58999633789062,81.58999633789062,81.58999633789062,0
2018-01-10,81.5199966430664,81.5199966430664,81.5199966430664,81.5199966430664,81.5199966430664,0
2018-01-11,81.33999633789062,81.33999633789062,81.33999633789062,81.33999633789062,81.33999633789062,0
2018-01-12,81.33000183105469,81.33000183105469,81.33000183105469,81.33000183105469,81.33000183105469,0
2018-01-15,81.30000305175781,81.30000305175781,81.30000305175781,81.30000305175781,81.30000305175781,0
2018-01-16,81.37000274658203,81.37000274658203,81.37000274658203,81.37000274658203,81.37000274658203,0
2018-01-17,81.38999938964844,81.38999938964844,81.38999938964844,81.38999938964844,81.38999938964844,0
2018-01-18,81.3499984741211,81.3499984741211,81.3499984741211,81.3499984741211,81.3499984741211,0
2018-01-19,81.37999725341797,81.37999725341797,81.37999725341797,81.37999725341797,81.37999725341797,0
2018-01-22,81.37999725341797,81.37999725341797,81.37999725341797,81.37999725341797,81.37999725341797,0
2018-01-23,81.4000015258789,81.4000015258789,81.4000015258789,81.4000015258789,81.4000015258789,0
2018-01-24,81.33999633789062,81.33999633789062,81.33999633789062,81.33999633789062,81.33999633789062,0
2018-01-25,81.19999694824219,81.19999694824219,81.19999694824219,81.19999694824219,81.19999694824219,0
2018-01-26,81.13999938964844,81.13999938964844,81.13999938964844,81.13999938964844,81.13999938964844,0
2018-01-29,80.97000122070312,80.97000122070312,80.97000122070312,80.97000122070312,80.97000122070312,0
2018-01-30,81.01000213623047,81.01000213623047,81.01000213623047,81.01000213623047,81.01000213623047,0
2018-01-31,81.0,81.0,81.0,81.0,81.0,0
2018-02-01,80.94999694824219,80.94999694824219,80.94999694824219,80.94999694824219,80.94999694824219,0
2018-02-02,80.88999938964844,80.88999938964844,80.88999938964844,80.88999938964844,80.88999938964844,0
2018-02-05,80.93000030517578,80.93000030517578,80.93000030517578,80.93000030517578,80.93000030517578,0
2018-02-06,80.98999786376953,80.98999786376953,80.98999786376953,80.98999786376953,80.98999786376953,0
2018-02-07,80.88999938964844,80.88999938964844,80.88999938964844,80.88999938964844,80.88999938964844,0
2018-02-08,80.83999633789062,80.83999633789062,80.83999633789062,80.83999633789062,80.83999633789062,0
2018-02-09,80.87000274658203,80.87000274658203,80.87000274658203,80.87000274658203,80.87000274658203,0
2018-02-12,80.83999633789062,80.83999633789062,80.83999633789062,80.83999633789062,80.83999633789062,0
2018-02-13,80.83999633789062,80.83999633789062,80.83999633789062,80.83999633789062,80.83999633789062,0
2018-02-14,80.80999755859375,80.80999755859375,80.80999755859375,80.80999755859375,80.80999755859375,0
2018-02-15,80.76000213623047,80.76000213623047,80.76000213623047,80.76000213623047,80.76000213623047,0
2018-02-16,80.9000015258789,80.9000015258789,80.9000015258789,80.9000015258789,80.9000015258789,0
2018-02-19,80.8499984741211,80.8499984741211,80.8499984741211,80.8499984741211,80.8499984741211,0
2018-02-20,80.87000274658203,80.87000274658203,80.87000274658203,80.87000274658203,80.87000274658203,0
2018-02-21,80.88999938964844,80.88999938964844,80.88999938964844,80.88999938964844,80.88999938964844,0
2018-02-22,80.91000366210938,80.91000366210938,80.91000366210938,80.91000366210938,80.91000366210938,0
2018-02-23,81.0199966430664,81.0199966430664,81.0199966430664,81.0199966430664,81.0199966430664,0
2018-02-26,81.04000091552734,81.04000091552734,81.04000091552734,81.04000091552734,81.04000091552734,0
2018-02-27,80.98999786376953,80.98999786376953,80.98999786376953,80.98999786376953,80.98999786376953,0
2018-02-28,81.02999877929688,81.02999877929688,81.02999877929688,81.02999877929688,81.02999877929688,0
2018-03-01,81.0,81.0,81.0,81.0,81.0,0
2018-03-02,80.95999908447266,80.95999908447266,80.95999908447266,80.95999908447266,80.95999908447266,0
2018-03-05,80.87000274658203,80.87000274658203,80.87000274658203,80.87000274658203,80.87000274658203,0
2018-03-06,80.86000061035156,80.86000061035156,80.86000061035156,80.86000061035156,80.86000061035156,0
2018-03-07,80.95999908447266,80.95999908447266,80.95999908447266,80.95999908447266,80.95999908447266,0
2018-03-08,81.06999969482422,81.06999969482422,81.06999969482422,81.06999969482422,81.06999969482422,0
2018-03-09,81.0199966430664,81.0199966430664,81.0199966430664,81.0199966430664,81.0199966430664,0
2018-03-12,81.05999755859375,81.05999755859375,81.05999755859375,81.05999755859375,81.05999755859375,0
2018-03-13,81.06999969482422,81.06999969482422,81.06999969482422,81.06999969482422,81.06999969482422,0
2018-03-14,81.08999633789062,81.08999633789062,81.08999633789062,81.08999633789062,81.08999633789062,0
2018-03-15,81.1500015258789,81.1500015258789,81.1500015258789,81.1500015258789,81.1500015258789,0
2018-03-16,81.16999816894531,81.16999816894531,81.16999816894531,81.16999816894531,81.16999816894531,0
2018-03-19,81.16999816894531,81.16999816894531,81.16999816894531,81.16999816894531,81.16999816894531,0
2018-03-20,81.19999694824219,81.19999694824219,81.19999694824219,81.19999694824219,81.19999694824219,0
2018-03-21,81.16000366210938,81.16000366210938,81.16000366210938,81.16000366210938,81.16000366210938,0
2018-03-22,81.26000213623047,81.26000213623047,81.26000213623047,81.26000213623047,81.26000213623047,0
