Date,MCSMX_High,MCSMX_Low,MCSMX_Open,MCSMX_Close,MCSMX_Volume,MCSMX_Adj Close
2017-01-03,8.279999732971191,8.279999732971191,8.279999732971191,8.279999732971191,0.0,8.022588729858398
2017-01-04,8.34000015258789,8.34000015258789,8.34000015258789,8.34000015258789,0.0,8.08072280883789
2017-01-05,8.449999809265137,8.449999809265137,8.449999809265137,8.449999809265137,0.0,8.187302589416504
2017-01-06,8.470000267028809,8.470000267028809,8.470000267028809,8.470000267028809,0.0,8.206681251525879
2017-01-09,8.399999618530273,8.399999618530273,8.399999618530273,8.399999618530273,0.0,8.138856887817383
2017-01-10,8.449999809265137,8.449999809265137,8.449999809265137,8.449999809265137,0.0,8.187302589416504
2017-01-11,8.489999771118164,8.489999771118164,8.489999771118164,8.489999771118164,0.0,8.226058959960938
2017-01-12,8.449999809265137,8.449999809265137,8.449999809265137,8.449999809265137,0.0,8.187302589416504
2017-01-13,8.460000038146973,8.460000038146973,8.460000038146973,8.460000038146973,0.0,8.196992874145508
2017-01-17,8.430000305175781,8.430000305175781,8.430000305175781,8.430000305175781,0.0,8.167924880981445
2017-01-18,8.460000038146973,8.460000038146973,8.460000038146973,8.460000038146973,0.0,8.196992874145508
2017-01-19,8.430000305175781,8.430000305175781,8.430000305175781,8.430000305175781,0.0,8.167924880981445
2017-01-20,8.420000076293945,8.420000076293945,8.420000076293945,8.420000076293945,0.0,8.158235549926758
2017-01-23,8.489999771118164,8.489999771118164,8.489999771118164,8.489999771118164,0.0,8.226058959960938
2017-01-24,8.520000457763672,8.520000457763672,8.520000457763672,8.520000457763672,0.0,8.255126953125
2017-01-25,8.579999923706055,8.579999923706055,8.579999923706055,8.579999923706055,0.0,8.313261985778809
2017-01-26,8.579999923706055,8.579999923706055,8.579999923706055,8.579999923706055,0.0,8.313261985778809
2017-01-27,8.59000015258789,8.59000015258789,8.59000015258789,8.59000015258789,0.0,8.322951316833496
2017-01-30,8.569999694824219,8.569999694824219,8.569999694824219,8.569999694824219,0.0,8.303572654724121
2017-01-31,8.59000015258789,8.59000015258789,8.59000015258789,8.59000015258789,0.0,8.322951316833496
2017-02-01,8.619999885559082,8.619999885559082,8.619999885559082,8.619999885559082,0.0,8.352017402648926
2017-02-02,8.699999809265137,8.699999809265137,8.699999809265137,8.699999809265137,0.0,8.429530143737793
2017-02-03,8.720000267028809,8.720000267028809,8.720000267028809,8.720000267028809,0.0,8.448908805847168
2017-02-06,8.75,8.75,8.75,8.75,0.0,8.47797679901123
2017-02-07,8.770000457763672,8.770000457763672,8.770000457763672,8.770000457763672,0.0,8.497355461120605
2017-02-08,8.829999923706055,8.829999923706055,8.829999923706055,8.829999923706055,0.0,8.555488586425781
2017-02-09,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,0.0,8.623312950134277
2017-02-10,8.880000114440918,8.880000114440918,8.880000114440918,8.880000114440918,0.0,8.603936195373535
2017-02-13,8.949999809265137,8.949999809265137,8.949999809265137,8.949999809265137,0.0,8.671758651733398
2017-02-14,8.949999809265137,8.949999809265137,8.949999809265137,8.949999809265137,0.0,8.671758651733398
2017-02-15,9.0,9.0,9.0,9.0,0.0,8.72020435333252
2017-02-16,9.010000228881836,9.010000228881836,9.010000228881836,9.010000228881836,0.0,8.729893684387207
2017-02-17,8.960000038146973,8.960000038146973,8.960000038146973,8.960000038146973,0.0,8.681448936462402
2017-02-21,9.069999694824219,9.069999694824219,9.069999694824219,9.069999694824219,0.0,8.7880277633667
2017-02-22,9.15999984741211,9.15999984741211,9.15999984741211,9.15999984741211,0.0,8.87523078918457
2017-02-23,9.170000076293945,9.170000076293945,9.170000076293945,9.170000076293945,0.0,8.884920120239258
2017-02-24,9.140000343322754,9.140000343322754,9.140000343322754,9.140000343322754,0.0,8.855852127075195
2017-02-27,9.09000015258789,9.09000015258789,9.09000015258789,9.09000015258789,0.0,8.807405471801758
2017-02-28,9.050000190734863,9.050000190734863,9.050000190734863,9.050000190734863,0.0,8.76865005493164
2017-03-01,9.149999618530273,9.149999618530273,9.149999618530273,9.149999618530273,0.0,8.865541458129883
2017-03-02,9.069999694824219,9.069999694824219,9.069999694824219,9.069999694824219,0.0,8.7880277633667
2017-03-03,9.069999694824219,9.069999694824219,9.069999694824219,9.069999694824219,0.0,8.7880277633667
2017-03-06,9.119999885559082,9.119999885559082,9.119999885559082,9.119999885559082,0.0,8.836472511291504
2017-03-07,9.140000343322754,9.140000343322754,9.140000343322754,9.140000343322754,0.0,8.855852127075195
2017-03-08,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0.0,8.894609451293945
2017-03-09,9.109999656677246,9.109999656677246,9.109999656677246,9.109999656677246,0.0,8.826784133911133
2017-03-10,9.119999885559082,9.119999885559082,9.119999885559082,9.119999885559082,0.0,8.836472511291504
2017-03-13,9.279999732971191,9.279999732971191,9.279999732971191,9.279999732971191,0.0,8.991499900817871
2017-03-14,9.3100004196167,9.3100004196167,9.3100004196167,9.3100004196167,0.0,9.020567893981934
2017-03-15,9.449999809265137,9.449999809265137,9.449999809265137,9.449999809265137,0.0,9.156214714050293
2017-03-16,9.489999771118164,9.489999771118164,9.489999771118164,9.489999771118164,0.0,9.19497013092041
2017-03-17,9.5,9.5,9.5,9.5,0.0,9.204660415649414
2017-03-20,9.529999732971191,9.529999732971191,9.529999732971191,9.529999732971191,0.0,9.23372745513916
2017-03-21,9.470000267028809,9.470000267028809,9.470000267028809,9.470000267028809,0.0,9.175593376159668
2017-03-22,9.470000267028809,9.470000267028809,9.470000267028809,9.470000267028809,0.0,9.175593376159668
